ID,NAME,ZONE
415," Кабанский р-н, п. Байкальский Прибой",3
394,"Аларский р-н, д. Ныгда",1
436,"Аларский р-н, п. Александровск",1
225,"Аларский р-н, п. Забитуй",1
211,"Аларский р-н, п. Кутулик",1
224,"Аларский р-н, п.Табарсук",1
227,"Аларский р-н, с. Аларь",1
228,"Аларский р-н, с. Аляты",1
441,"Аларский р-н, с. Апхульта",1
423,"Аларский р-н, с. Головинская",1
442,"Аларский р-н, с. Зоны",1
229,"Аларский р-н, с. Иваническое",1
226,"Аларский р-н, с. Идеал",1
443,"Аларский р-н, с. Могоенок",1
1,Ангарск,1
8,"Ангарский р-н, д. Зверево",1
4,"Ангарский р-н, п. Майск",1
9,"Ангарский р-н, п. Мегет",1
16,"Ангарский р-н, п. Савватеевка",1
5,"Ангарский р-н, п. Юго-Восточный",1
299,Бабушкин,3
37,Байкальск,1
158,"Балаганский р-н, п. Балаганск",1
444,"Балаганский р-н, п. Бахтай",1
157,"Балаганский р-н, с. Заславск",1
372,"Баргузинский р-н, ",3
254,"Баргузинский р-н, п. Баргузин",3
255,"Баргузинский р-н, п. Усть-Баргузин",3
256,"Баргузинский р-н, с. Максимиха",3
257,"Баргузинский р-н, у. Баянгол",3
258,"Баргузинский р-н, у. Улюкчикан",3
259,"Баунтовский р-н, п. Багдарин",3
232,"Баяндаевский р-н, д. Баяндай",1
399,"Баяндаевский р-н, д. Люры",1
231,"Баяндаевский р-н, д. Половинка",1
419,"Баяндаевский р-н, п. Каменка",1
387,"Баяндаевский р-н, п. Хогот",1
230,"Баяндаевский р-н, с. Загатуй",1
462,"Баяндаевский р-н, с. Ользоны",1
95,Бирюсинск,2
263,"Бичурский р-н, п. Потанино",3
261,"Бичурский р-н, с. Бичура",3
262,"Бичурский р-н, с. Мулцугун",3
260,"Бичурский р-н, с. Окино-Ключи",3
44,"Бодайбинский р-н, п. Артёмовск",2
45,"Бодайбинский р-н, п. Балахнинский",2
46,"Бодайбинский р-н, п. Кропоткин",2
47,"Бодайбинский р-н, п. Мамакан",2
43,"Бодайбинский р-н, п. Маракан",2
42,"Бодайбинский р-н, п. Перевоз",2
41,Бодайбо,2
237,"Боханский р-н, д. Хоргелок",1
241,"Боханский р-н, п. Александровское",1
233,"Боханский р-н, п. Бохан",1
240,"Боханский р-н, п. Дундай",1
242,"Боханский р-н, п. Каменка",1
239,"Боханский р-н, п. Тараса",1
234,"Боханский р-н, п. Тихоновка",1
236,"Боханский р-н, с. Казачье",1
235,"Боханский р-н, с. Олонки",1
238,"Боханский р-н, с. Хохорск",1
3,Братск,2
34,"Братский р-н, п. Бикей",2
30,"Братский р-н, п. Гидростроитель",2
172,"Братский р-н, п. Добчур",2
35,"Братский р-н, п. Зяба",2
155,"Братский р-н, п. Кежемский",2
171,"Братский р-н, п. Леоново",2
175,"Братский р-н, п. Луговой",2
31,"Братский р-н, п. Падун",2
178,"Братский р-н, п. Прибрежный",2
176,"Братский р-н, п. Сосновый",2
179,"Братский р-н, п. Тангуй",2
169,"Братский р-н, п. Турма",2
180,"Братский р-н, п. Тэмь",2
33,"Братский р-н, п. Чекановский",2
468,"Братский р-н, п. Шумилово",2
29,"Братский р-н, п. Энергетик",2
